Task,Label
manage the printer report in two days at 3:50 AM,"B-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time,I-Time"
prepare a new gym bag by today at noon,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time"
Remember to schedule with Dana about the project timeline scheduled for Wednesday noon,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,B-Time"
Need to plan the phone case before the rally on september 24th at 6:15,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
on oct 15th at 19 check the project client presentation,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
i need to share the panel discussion in Kingmouth after 8:30 this Friday,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Time,O,B-Date"
check out the intern for the trade show that is in 3 weeks at 5:10 am,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
finish reading chapter 80 of board meeting book until the 15th of may,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,I-Date,I-Date"
organize code for the demonstration scheduled at noon on may 20th,"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date"
complete a doctor appointment on may 23rd around noon,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
I'm having a carnival with Christina at the cafe tomorrow at noon,"O,O,O,B-Task,I-Task,I-Task,O,O,O,B-Date,O,B-Time"
i need to confirm a monitor by Wednesday.,"O,O,O,B-Task,I-Task,I-Task,O,B-Date"
i need to schedule an update mail to the team at 9:30 AM tomorrow,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
don't forget to review the vacation tickets by tomorrow at 2:25,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
i need to check chapter 11 of the biology textbook by Thursday.,"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date"
coordinate the project report by 8pm on Tuesday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
finish reading chapter 11 of project timeline book until the 21st of apr,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,I-Date,I-Date"
i have a product launch scheduled for Tuesday next week at 7:45,"O,O,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time"
book Dror about the product launch by next week,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
Remember to organize with Boss about the team lunch scheduled for Thursday noon,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,B-Time"
watch the new banana made by Noam until Saturday at 3:25,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
watch a chef appointment for next Wednesday at 11:40 PM,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
Need to check the sales report before the birthday on jul 12th at 1:15,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
learn the charger before 6 AM tomorrow and then test,"B-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date,O,O,O"
don't forget to finalize the commemoration tickets by tomorrow at 6:20,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
don't forget to book the movie tickets by today at 7:30,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
today i have to buy the keyboard for the february lunch,"B-Date,O,O,O,B-Task,O,B-Task,I-Task,O,B-Task,I-Task"
go over the garden for the panel discussion that is in eleven weeks at 9:30 PM,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
mow the ruler today,"B-Task,O,B-Task,B-Date"
prepare preliminary idea report by 8:15 PM on Tuesday,"B-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,O,B-Date"
attend the document and document by october 11th at 4:10 a.m.,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
make sure to check out the commemoration certification by tomorrow at midnight,"O,O,O,B-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
organize carnival tickets today at 7:25 pm.,"B-Task,I-Task,I-Task,B-Date,O,B-Time,I-Time"
I'm having a ritual with Grandpa at the cafe tomorrow at noon,"O,O,O,B-Task,I-Task,I-Task,O,O,O,B-Date,O,B-Time"
Need to study the paper tray before the concert on jun 3rd at 8:15,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
prepare John on her movie which is on the 19th at 3 pm.,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
arrange Noam on her exhibition which is on the 12th at 10 am.,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
I'm having a flight with Dad at the cafe tomorrow at noon,"O,O,O,B-Task,I-Task,I-Task,O,O,O,B-Date,O,B-Time"
test the monthly performance review by the deadline on feb 16th at 3:00.,"B-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
add preliminary idea report by 9:50 PM on Wednesday,"B-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,O,B-Date"
learn Noam's movie gift before march 4th,"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
on jun 10th at 5 mow the project project timeline,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
study sales report for the Lake Jeremyville branch tomorrow noon,"B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,I-Task,B-Date,B-Time"
call the updated budget by the 23rd at 10:15 am,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
test mail confirmation today at 4:50,"B-Task,I-Task,I-Task,B-Date,O,B-Time"
finalize the radio tomorrow,"B-Task,O,B-Task,B-Date"
prepare for the training session on Saturday,"B-Task,I-Task,O,B-Task,I-Task,O,B-Date"
Remember to study with Dad about the client presentation scheduled for Saturday noon,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,B-Time"
reserve preliminary idea report by 3:40 a.m. on Tuesday,"B-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,O,B-Date"
i need to manage an update mail to the team at 11:20 p.m. today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
deal with Gal's medical prescriptions on january 5th at 6:25 am.,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
i need to review an update mail to the team at 12:15 AM today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
I'm having a tournament with Noa at the cafe tomorrow at noon,"O,O,O,B-Task,I-Task,I-Task,O,O,O,B-Date,O,B-Time"
tomorrow i have to prepare the dishes for the june lunch,"B-Date,O,O,O,B-Task,O,B-Task,I-Task,O,B-Task,I-Task"
practice Noam about the team lunch by next week,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
prioritize the UI mockup report to Mom by next Monday at 10am,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
on june 18th at 8 plan the project physics project,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
call the report and send it by Sunday at 9 am,"B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
return a doctor to inspect the charger by today at eleven p.m.,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
go over my dry cleaning in two days,"B-Task,I-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date"
email the inventory levels by the 13th at 7:40 pm,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
i need to study an update mail to the team at 4:40 a.m. tomorrow,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
Need to arrange the UI mockup before the protest on april 23rd at 12:15,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
set up the monthly expense summary by the deadline on jan 23rd at 1:30,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
don't forget to email the concert tickets by today at 4:30,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
on jul 27th at 20 add the project press conference,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
watch a taxi for the team lunch on Sunday by today at 11:40,"B-Task,O,B-Task,I-Task,O,B-Task,I-Task,O,O,O,B-Date,O,B-Time"
share the charger and charger by march 24th at 8:50 PM,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
prepare a taxi for the project timeline on Wednesday by today at 9:10,"B-Task,O,B-Task,I-Task,O,B-Task,I-Task,O,O,O,B-Date,O,B-Time"
i need to reserve a notebook for the math quiz by Friday.,"O,O,O,B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date"
finish reading chapter 99 of product launch book until the 30th of jul,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,I-Date,I-Date"
watch a headphones follow-up by the 4th in 22,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
mow trip for the tech conference this Saturday at eight,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
complete the new notebook about onboarding next Thursday,"B-Task,O,B-Task,I-Task,I-Task,I-Task,B-Date,I-Date"
return mail confirmation tomorrow at 7:00,"B-Task,I-Task,I-Task,B-Date,O,B-Time"
i have to test the presentation for the training session at two am tomorrow,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date"
finish conference tickets today at 4:00 AM.,"B-Task,I-Task,I-Task,B-Date,O,B-Time,I-Time"
review the new printer made by Mckenzie until Saturday at 6:20,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
complete Gal to share the dishes by midnight on the 10th,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,B-Date,I-Date,I-Date"
organize Ron on her tournament which is on the 2nd at four p.m..,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
Need to reserve the phone case before the commemoration on apr 26th at 3:15,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
I'm having a exhibition with Michael at the cafe tomorrow at noon,"O,O,O,B-Task,I-Task,I-Task,O,O,O,B-Date,O,B-Time"
check a table at James's for Tuesday at 5:20 a.m.,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
pick up Lia's medical prescriptions on mar 12th at 10:30 AM.,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
organize Dad about the tech conference by next week,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
i need to update chapter eight of the biology textbook by Thursday.,"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date"
send the project report by 5p.m. on Thursday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
test the new tablet made by Dana until Friday at 2:40,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
buy John's carnival gift before november 14th,"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
complete the project report by 6p.m. on Tuesday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
i have a networking event scheduled for Monday next week at 2:00,"O,O,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time"
share a plumber to inspect the laptop by today at ten p.m.,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
check out the monthly expense summary by the deadline on nov 15th at 3:10,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
attend for the physics project on Monday,"B-Task,I-Task,O,B-Task,I-Task,O,B-Date"
look into the monthly expense summary by the deadline on mar 2nd at 12:25,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
learn Grandpa in 10 days around 21,"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time"
organize a new tooth brush by tomorrow at noon,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time"
buy a rideshare for the wedding which is on Tuesday by today at 12:45,"B-Task,I-Task,I-Task,I-Task,O,B-Task,O,O,O,O,O,B-Date,O,B-Time"
on feb 16th at 22 confirm the project team meeting,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
on mar 18th at 6 coordinate the project project timeline,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
finalize the new monitor about onboarding next Thursday,"B-Task,O,B-Task,I-Task,I-Task,I-Task,B-Date,I-Date"
submit a manager to inspect the intern by tomorrow at 5 am,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
finalize mail confirmation today at 6:00,"B-Task,I-Task,I-Task,B-Date,O,B-Time"
arrange Shani on her webinar which is on the 17th at 12 AM.,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
book watch for the shopping scheduled at noon on sep 19th,"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date"
attend the sales report lawn to Noam by next Tuesday at 12p.m.,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
arrange the updated budget before the webinar on Friday at 4:10,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
finalize the new charger made by Grandpa until Sunday at 4:40,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
wrap up my dry cleaning in 12 days,"B-Task,I-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date"
add meeting tickets tomorrow at 4:50 PM.,"B-Task,I-Task,I-Task,B-Date,O,B-Time,I-Time"
return parade tickets tomorrow at 7:10 PM.,"B-Task,I-Task,I-Task,B-Date,O,B-Time,I-Time"
manage trousers for the demonstration scheduled at noon on mar 22nd,"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date"
organize the worker tomorrow,"B-Task,O,B-Task,B-Date"
buy the project report by 10a.m. on Saturday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
finish mockup for the reunion scheduled at noon on july 7th,"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date"
organize the report and test it by Saturday at 11 PM,"B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
pick up the album that Dad needs for the commemoration happening today at 8:10PM,"B-Task,I-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,O,B-Date,O,B-Time"
sort out Austin's medical prescriptions on nov 11th at 12:15 PM.,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
i need to plan the team meeting in Barbarafurt after 2:25 this Tuesday,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Time,O,B-Date"
i need to read a apple by Thursday.,"O,O,O,B-Task,I-Task,I-Task,O,B-Date"
watch the sales report by the 28th at 1:45 p.m.,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
set up the album for the training session that is in 5 weeks at 11:00 a.m.,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
submit Dana in 1 days around 16,"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time"
submit mail confirmation tomorrow at 5:20,"B-Task,I-Task,I-Task,B-Date,O,B-Time"
i need to schedule a hammer for the team meeting by Wednesday.,"O,O,O,B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date"
remind me to attend the trade show report before Friday at 8:00 PM,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
i need to design a report by Tuesday.,"O,O,O,B-Task,I-Task,I-Task,O,B-Date"
follow up the monthly expense summary by the deadline on aug 10th at 5:50,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
i have to review the presentation for the tech conference at 7 AM tomorrow,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date"
don't forget to clean the trip tickets by today at 11:25,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
don't forget to prioritize the ritual tickets by today at 7:25,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
practice Tahel to test the tablet by midnight on the 6th,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,B-Date,I-Date,I-Date"
today i have to update the presentation for the apr lunch,"B-Date,O,O,O,B-Task,O,B-Task,I-Task,O,B-Task,I-Task"
prepare Grandma for his reunion which is today next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
prioritize the gym bag before the protest on Friday at 5:00,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
watch Ron for his celebration which is today next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
make sure to wrap up the gathering certification by today at midnight,"O,O,O,B-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
reserve Shani for his birthday which is tomorrow next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
practice Dad on her party which is on the 2nd at 3 pm.,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
confirm the inventory levels slide to Grandpa by next Thursday at 10a.m.,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
complete tickets for the fair on june 13th at 11:30 am.,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time,I-Time"
book the sales report before the gathering on Tuesday at 3:40,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
go over the pen for the project timeline that is in six weeks at 4:45 p.m.,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
complete Tahel about the training session by next week,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
update paper for the birthday scheduled at noon on mar 7th,"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date"
analyze wedding for the board meeting this Saturday at two,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
go over my dry cleaning in 12 days,"B-Task,I-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date"
drop off the monthly expense summary by the deadline on january 8th at 5:30,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
review the photo album by the 7th at 9:50 pm,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
i have a panel discussion scheduled for Friday next week at 9:30,"O,O,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time"
call Shani about the team lunch by next week,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
practice Daniel for his reunion which is today next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
watch a table at Grandpa's for Saturday at 10:20 a.m.,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
analyze the presentation report in 8 days at 7:15 PM,"B-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time,I-Time"
design the code before one pm tomorrow and then email,"B-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date,O,O,O"
don't forget to confirm the webinar tickets by tomorrow at 10:25,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
watch the trousers report in 12 days at 6:30 a.m.,"B-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time,I-Time"
make sure to look into the concert certification by today at midnight,"O,O,O,B-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
attend a report follow-up by the 25th in 1,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
i need to share an update mail to the team at 2:45 AM tomorrow,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
I'm having a exhibition with Grandma at the cafe tomorrow at noon,"O,O,O,B-Task,I-Task,I-Task,O,O,O,B-Date,O,B-Time"
clean a taxi for the panel discussion on Monday by tomorrow at 9:40,"B-Task,O,B-Task,I-Task,O,B-Task,I-Task,O,O,O,B-Date,O,B-Time"
share the new ruler about onboarding next Saturday,"B-Task,O,B-Task,I-Task,I-Task,I-Task,B-Date,I-Date"
prioritize Noam for his vacation which is tomorrow next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
sort out the intern that Grandma needs for the graduation happening tomorrow at 11:10PM,"B-Task,I-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,O,B-Date,O,B-Time"
finish reading chapter 29 of math quiz book until the 27th of august,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,I-Date,I-Date"
Remember to share with Daniel about the client presentation scheduled for Sunday noon,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,B-Time"
don't forget to clean the exhibition tickets by today at 12:00,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
review the new apple made by Tahel until Sunday at 10:20,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
wrap up the monthly expense summary by the deadline on january 4th at 8:20,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
book a rideshare for the birthday which is on Monday by today at 5:40,"B-Task,I-Task,I-Task,I-Task,O,B-Task,O,O,O,O,O,B-Date,O,B-Time"
update the presentation and presentation by dec 12th at 1:15 AM,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
i have a client presentation scheduled for Friday next week at 6:00,"O,O,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time"
arrange the laptop report in eleven days at 7:40 a.m.,"B-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time,I-Time"
book the project report by 4a.m. on Thursday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
analyze the new lawn about onboarding next Monday,"B-Task,O,B-Task,I-Task,I-Task,I-Task,B-Date,I-Date"
read the clock before 12 AM tomorrow and then email,"B-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date,O,O,O"
attend a new hand mirror by today at noon,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time"
test John in twelve days around 5,"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time"
I'm having a rally with Dror at the cafe tomorrow at noon,"O,O,O,B-Task,I-Task,I-Task,O,O,O,B-Date,O,B-Time"
i need to email a document by Sunday.,"O,O,O,B-Task,I-Task,I-Task,O,B-Date"
I'm having a parade with Mary at the cafe tomorrow at noon,"O,O,O,B-Task,I-Task,I-Task,O,O,O,B-Date,O,B-Time"
reserve the new headphones about onboarding next Sunday,"B-Task,O,B-Task,I-Task,I-Task,I-Task,B-Date,I-Date"
Remember to prioritize with Gal about the board meeting scheduled for Sunday noon,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,B-Time"
send the watch tomorrow,"B-Task,O,B-Task,B-Date"
watch a headphones follow-up by the 10th in 21,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
prioritize the new report about onboarding next Saturday,"B-Task,O,B-Task,I-Task,I-Task,I-Task,B-Date,I-Date"
prioritize tickets for the party on december 20th at 1:30 p.m..,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time,I-Time"
i need to manage a garden by Saturday.,"O,O,O,B-Task,I-Task,I-Task,O,B-Date"
Remember to design with Mom about the training session scheduled for Wednesday noon,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,B-Time"
deal with the presentation for the press conference that is in six weeks at 7:00 AM,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
complete the radio before twelve am today and then review,"B-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date,O,O,O"
add the ice cream by the 20th at 3:15 am,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
complete shopping tickets tomorrow at 8:20 p.m..,"B-Task,I-Task,I-Task,B-Date,O,B-Time,I-Time"
make sure to check out the tournament certification by tomorrow at midnight,"O,O,O,B-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
go through the clock for the team meeting that is in eleven weeks at 9:25 pm,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
coordinate Grandma in 12 days around 14,"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time"
i need to plan a tablet by Saturday.,"O,O,O,B-Task,I-Task,I-Task,O,B-Date"
clean Dad in 11 days around 13,"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time"
learn the paper tray by the 14th at 9:45 am,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
email a new ice cream by tomorrow at noon,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time"
go over the table for the trade show that is in 7 weeks at 11:15 PM,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
Need to prepare the sales report before the trip on june 2nd at 9:15,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
confirm the notebook before two PM today and then test,"B-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date,O,O,O"
attend the inventory levels by the 31st at 7:15 pm,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
update photo album for the North Stephanie branch tomorrow noon,"B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,I-Task,B-Date,B-Time"
reserve lyrics for the shopping on april 27th at 21:30,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time"
make sure to check out the haircut certification by tomorrow at midnight,"O,O,O,B-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
follow up the monthly expense summary by the deadline on january 16th at 10:00,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
buy Dror on her meeting which is on the 12th at two AM.,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
